@RELATION CLASSES

@ATTRIBUTE atb1 NUMERIC
@ATTRIBUTE atb2 NUMERIC
@ATTRIBUTE atb3 NUMERIC
@ATTRIBUTE atb4 NUMERIC
@ATTRIBUTE atb5 NUMERIC
@ATTRIBUTE atb6 NUMERIC
@ATTRIBUTE atb7 NUMERIC
@ATTRIBUTE atb8 NUMERIC

@ATTRIBUTE class {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}

@DATA
1.008333,2.851157,0.983418,3.045736,0.098214,0.326229,1.213445,3.348621,class_2
2.422892,6.615659,2.602978,6.990507,0.737288,2.493816,1.620592,5.207261,class_2
1.330529,2.973865,2.203325,3.765959,1.843220,2.094382,1.660028,3.413167,class_2
2.171543,5.905154,3.421166,6.107014,0.344828,0.691950,1.863501,2.412702,class_2
2.083710,4.724994,0.981111,3.726285,0.024390,0.154257,1.928025,4.684146,class_2
1.439356,3.020358,1.355056,4.228821,0.406863,0.683239,1.136767,3.255947,class_2
0.572335,1.709512,1.120603,2.747411,0.136752,0.379067,0.998353,2.709735,class_2
2.098280,4.871839,2.261787,4.856727,1.121951,1.819432,1.025111,3.118197,class_2
1.940087,4.966303,2.441250,5.335171,0.670588,1.598810,2.002275,4.459143,class_2
1.475236,3.823568,1.270023,3.817381,0.566667,1.015983,1.189763,2.789125,class_2
1.046512,2.882009,1.581188,4.301029,1.368421,3.735571,2.459200,4.437875,class_2
2.330900,6.455349,1.821510,4.359444,0.111111,0.364628,1.710700,5.489710,class_2
2.421348,4.570852,1.515666,3.251694,1.065385,1.230835,1.320346,3.367548,class_2
0.483294,2.309384,1.098194,2.711579,0.071429,0.257539,0.721692,2.606327,class_2
0.893805,2.581376,1.003006,2.678683,0.058621,0.249160,1.012174,2.452652,class_2
1.207224,4.069597,1.828612,6.000739,0.056213,0.230333,0.671560,1.004768,class_2
0.965011,2.807181,1.604288,4.563110,0.100694,0.373050,0.881607,1.097152,class_2
1.416209,2.731805,1.384384,2.468905,3.299107,3.794357,1.088496,1.093485,class_2
1.032864,2.649537,0.665208,2.986760,0.141509,0.391064,1.479212,2.080467,class_2
0.807203,2.384384,0.927455,2.700092,0.121053,0.341943,0.724258,1.554385,class_2
